title,task,cost,date,views,answers,status
Перевод проектной документации на английский язык,Перевод проектной документации Реконструкция кинозала в многозальном кинотеатре,Договорная,1970-01-01,24,15,Для Бизнес-аккаунтов
Управленческий учет строительной клмпании,"В компании есть только 1с бухгалтерия. Нужно к нему добавить сметный блок, блок коммерческий и блок закупок.",Договорная,1970-01-01,11,5,Для Бизнес-аккаунтов
Статья. Искусственный интеллект,Написать статью про работу в сфере искусственного интеллекта с отсылкой на обучающие курсы. 1500 знаков. Дополнительную информацию скину в сообщения откликнувшимся,Договорная,1970-01-01,31,17,Для Бизнес-аккаунтов
Разовые задания по верстке на постоянной основе,"Ищу верстальщика, который готов выполнять разовые задания на постоянной основе по сайту http://foodiephoto.info/",Договорная,1970-01-01,44,27,Для Бизнес-аккаунтов
Парсинг с kad.arbitr.ru,"Необходим парсинг http://kad.arbitr.ru/ в виде функции на PHP.
На входе функции должен быть ИНН или ОГРН участника дела. На выходе - арбитражные дела этого участни…",Договорная,1970-01-01,17,10,Для Бизнес-аккаунтов
php Нужно переделать существующую платежную систему под работу с api другого обменника,"На данный момент платежка работает с этим обменником - https://p2p.mdm.ru/
Мне нужно принимать гривны и конвертировать в рубли этим обменником - https://cdn.tranzz…",Договорная,1970-01-01,38,13,
Создать буклет А4 пополам (4 области),"Нужно создать буклет для рыболовной базы, на которую организуются экскурсии по программе ""ВСЕ ВКЛЮЧЕНО"".
Фирменный стиль имеется. Создан сайт.
Есть прим…",1 000 р.,1970-01-01,83,53,Для Бизнес-аккаунтов
Создание Рязанского прокси,"Нужен человек из города Рязань, который сможет предоставить мобильный прокси на 1 порт. Для этого необходимо: Рязанская сим-карта, модем и компьютер. Оплата за поль…",Договорная,1970-01-01,13,5,Для Бизнес-аккаунтов
Автопилот,Разработать анимацию для приложение подробности по номеру воцап. +7 777 970 1212,Договорная,1970-01-01,17,3,Для Бизнес-аккаунтов
визуализация коттеджей,"необходимо сделать визуализацию домов, проекты приложены, таких будет еще штук 15. 4 ракурса с природой вокруг.",Договорная,1970-01-01,48,29,Для Бизнес-аккаунтов
Ведение instagram интернет магазина для кондитеров,"Необходимо вести Instagram Интернет – магазина для кондитеров:
- согласовывать контент и хэштег план на неделю
- пост раз в два дня
- написание уникальных тексто…",4 000 р.,1970-01-01,28,17,Для Бизнес-аккаунтов
Разработка приложения,"Требуется разработать кросс-платформенное приложение под Android / iOS (React Native, Ionic, PhoneGap, ...). Бекенд готов и оформлен в виде REST API, требуется сдел…",Договорная,1970-01-01,54,14,
Редизайн логотипа,"Нужно переделать старый логотип, в новый",Договорная,1970-01-01,121,88,Для Бизнес-аккаунтов
Требуется отрисовка эскиза,"Требуется нарисовать эскиз тату, с моим наброском",Договорная,1970-01-01,129,38,
Ручной постинг объявлений,"Необходим постинг объявлений вручную на постоянной основе. Одно объявление 10 руб., необходимо всреднем 200-300 объявлений в неделю",3 000 р.,1970-01-01,15,6,Для Бизнес-аккаунтов
Исправить проблему с отправкой письма с формы заявки SMTP - срочно!,"Исправить проблему с отправкой письма с формы заявки SMTP - срочно!
Работы на 1 час полагаю, оставляйте ваш скайп

Оплата строго по готовности, БЕЗ авансов
Бюдж…",300 р.,1970-01-01,22,3,Для Бизнес-аккаунтов
ИТ Архитектор/ Программист для оценки проектов,"Требуется квалифицированный ИТ специалист (part time) уровня Архитектор с подтверждённым бэкграундом для оценки проектов, поступающих в холдинг.
Оценка включает:
…",Договорная,1970-01-01,14,2,Для Бизнес-аккаунтов
Создание рисунка для фотообоев,"Нужно сделать файл для фотообоев (2,5*4 метра). Найти или нарисовать  векторную графику, название стран написать на русском языке. Соотношение сторон сделать 8:5, п…",Договорная,1970-01-01,55,12,Для Бизнес-аккаунтов
Купон на скидку,Сделать купон на скидку.  Макет приложил.,300 р.,1970-01-01,163,55,
SEO оптимизация сайта,Необходима гарамотная настройка seo  шаблонов и ЧПУ.,3 000 р.,1970-01-01,47,32,Для Бизнес-аккаунтов
Тексты для аудиороликов,"Придумать тексты для иллюстрации плохих и хороших роликов для рекламы на радио под каждую из рекомендаций.  Род деятельности компании неважен (кроме алкоголя, табак…",3 000 р.,1970-01-01,19,6,Для Бизнес-аккаунтов
Написать  конвертер из xlsx в формат загрузки yml,"НЕобходимо разработать конвертер, который преобразует файл товаров поставщика из xlsx (excel) или свободных xml форматов, в формат загрузки yml . Входящие файлы мог…",Договорная,1970-01-01,20,11,Для Бизнес-аккаунтов
"Сделать дизайн  , по примерам","Нужно сделать дизайн по примерам картинок, картинки будут в описании 
Сайт для образца , https://nspforme.com/?utm_source=yandex&utm_medium=cpc&utm_campaign=NSP_Ra…",Договорная,1970-01-01,89,30,Для Бизнес-аккаунтов
Отредактировать существующий сайт по разработанному дизайну,"Отредактировать сайт по составленному дизайну (1 - дизайн; 2 - сайт на данный момент )
Сайт на ""Версия ocStore 3.0.2.0""",Договорная,1970-01-01,16,7,Для Бизнес-аккаунтов
Hakpro,Shop,4 000 р.,1970-01-01,27,7,Для Бизнес-аккаунтов
"Провести аудит, доработать сайт","Сайт:  https://дымыч.рф/
Нужно провести аудит, предложить варианты  по продвижению сайта в поисковых системах.
Доработать некоторые компоненты сайта (дизайн + вёр…",22 000 р.,1970-01-01,49,15,Для Бизнес-аккаунтов
"Написать диплом ""Совершенствование отбора и подбора персонала в нефтегазовых компаниях""","Написать диплом. 
оригинальность 70-80%
80 страниц 
первую главу написать в кратчайшие сроки, вторую до 15 марта, третью до 15 апреля",Договорная,1970-01-01,13,7,Для Бизнес-аккаунтов
Нужна помощница для создания сайтов,"Знания:
HTML
Bootstrap
Wordpress
Elementor
Slider Revolution
Photoshop
Хороший компьютер. Готовность работать в авральном режиме при наличии заданий. Связь т…",Договорная,1970-01-01,64,21,Для Бизнес-аккаунтов
Фирменный стиль турагентства,"Хочу изменить фирменный стиль турагентства (логотип, визитки, вывеска, фирменный бланк)",Договорная,1970-01-01,110,99,Для Бизнес-аккаунтов
Экспертные статьи,"Всем привет,

для продвижения проекта нужно написать серию статей. тема не сложная (трудоустройство студентов), но материалы нужно брать из научных статей, которы…",Договорная,1970-01-01,23,2,Для Бизнес-аккаунтов
Dark Barracks (DB) - bar & lounge,"Требуется логотип для кальянной. Основной акцент сделать на буквы DB. Интересует стилистика выдержанная в древесном стиле, рассматривается второй вариант в неоновой…",5 000 р.,1970-01-01,90,67,Для Бизнес-аккаунтов
Подключить сайт базы к локальному хостингу,Подключение сайта базы к локалке,250 р.,1970-01-01,30,15,Для Бизнес-аккаунтов
"Создание небольшого интернет магазина, он же сайт визитка","Необходимо создать сайт , настроить возможность заказов покупателей через него. Необходимо так же подключения эквайринга для приема платежей от покупателей.",5 900 р.,1970-01-01,50,35,Для Бизнес-аккаунтов
Создание изделий из кожи по эскизам,"Необходим Кожевенный мастер с опытом работы создания изделий на заказ по чертежам.
Требуются точные сроки исполнения и стабильное качество.
Работаем небольшими па…",Договорная,1970-01-01,4,2,Для Бизнес-аккаунтов
Администрирование сервера VMware + PostgreSQL,"Необходимо на существующем сервере на базе VMWare с двумя серверами на Ubuntu (приложения + баз данных) выполнить ряд задач, связанных с его обслуживанием: проверит…",4 000 р.,1970-01-01,41,6,
"15 статей (3000 зн), 10 новостей (1000 зн), 50 типовых описаний (800-1500 зн) с русского на немецкий.  18 дней","Перевести статьи, новости и типовые описания объектов недвижимости с русского на немецкий. Если сработаемся, заказ будет ежемесячным.  Примеры переводов всех трех т…",10 000 р.,1970-01-01,11,3,Для Бизнес-аккаунтов
База сайтов,"Нужна база сайтов от 100 ИКС

- Отзовики
- Каталоги сайтов
- Каталоги статей
- Доски объявлений
- Каталоги компаний

результат в таблице со следующими полям…",Договорная,1970-01-01,20,1,Для Бизнес-аккаунтов
Перенос и оформление работающего приложения,"Имеется почти готовое приложение под ПК, с нужными функциями и кнопками. Но сделанное в windows-form, где нет какого-либо дизайна. Софт писался на с++.

Задачи:
…",Договорная,1970-01-01,43,6,
Ищу переводчика с английского на русский,"Нужно сделать перевод текста с английского на на русский. Текст на сельскохозяйственную тематику.

Ищу человека для долгосрочного сотрудничества",3 500 р.,1970-01-01,25,21,Для Бизнес-аккаунтов
проект на магазин 46кв.м по электрике не дорого,нужен проект на магазин по электрике! магазин не большой! точек не много,Договорная,1970-01-01,14,6,Для Бизнес-аккаунтов
Встроить в сайт редактор HTML CSS,"В имеющим сайте каталога необходимо доработать встроенный редактор кода
описание в файле
цена символическая, рассмотрю предложения",Договорная,1970-01-01,8,5,Безопасная Сделка
Верстка,Нужна верстка с дизайном адаптивных внутренних страниц для сайта,3 000 р.,1970-01-01,69,26,Для Бизнес-аккаунтов
Landing page for sale clay ashtray.,Здравствуйте. Нужно разработать с нуля. Материалы по работе отправлю в личной переписке. Цену и сроки указывайте реальные! Боты в бан.,Договорная,1970-01-01,99,44,Для Бизнес-аккаунтов
Фрилансер Яндекс.Директ,"Есть собранная и разбитая на группы семантика.
Написаны тексты под эту семантику и размещены на сайте.

Требуется:
1.Создать рекламную кампанию по этой семантик…",3 000 р.,1970-01-01,29,27,Для Бизнес-аккаунтов
Монтаж видео для детского канала,"На постоянной основе с периодичностью 3-5 раз в неделю. В дальнейшем 6-7 раз. 
С добавлением спецэффектов.",Договорная,1970-01-01,39,21,Для Бизнес-аккаунтов
Удаление предметов из фото,Нужно удалить ряд предметов мебели из фото,1 000 р.,1970-01-01,44,23,Для Бизнес-аккаунтов
Рерайт дипломной работы,"Нужен человек, который переформулирует теорию для магистратской диссертации по психологии, свяжет текст по смыслу, дополнит выводами. Процент оригинальности текст…",Договорная,1970-01-01,19,4,Для Бизнес-аккаунтов
Рукописный Landing для тату студии GOLDIE TATTOO,"Необходимо сделать одностраничный сайт для премиальной тату студии

1. Адаптированный для всех устройств
2. Структура:
Шапка, Портфолио мастеров, Форма для запи…",25 000 р.,1970-01-01,130,94,Для Бизнес-аккаунтов
Тянуть с API два параметра и вставлять их в доп поле (DLE) / Доработать модуль.,"Здравствуйте, необходимо доработать модуль DLE. Есть в API два параметра, их необходимо парсить через модуль в доп поля. Как массово, так и при редактировании новос…",Договорная,1970-01-01,9,2,Для Бизнес-аккаунтов
Перевод с английского,5999 знаков,30 000 р.,1970-01-01,29,16,Для Бизнес-аккаунтов
Расчет сопротивления систем дымоудаления,"Необходим альтернативный расчет сопротивления системы дымоудаления жилого дома, в двух вариантах: 
1. Проектный вариант – то, как это планировалось в проекте 
2. …",Договорная,1970-01-01,19,1,
Нарисовать карту присутствия,Для этого общества нужно нарисовать карту присутствия региональных отделений и расставить флажки по карте в соответствии с нахождением и регионом. Ее надо нарисоват…,10 000 р.,1970-01-01,64,26,Для Бизнес-аккаунтов
Полиграфический сервис Напечатаем.онлайн,"Нужно придумать логотип .Напечатаем.онлайн  полиграфический сервис  дает возможность клиенту самостоятельно создать, разместить и оплатить заказ прямо на сайте. Обр…",Договорная,1970-01-01,62,43,Для Бизнес-аккаунтов
Дизайн скидочной карты,Для автосервиса требуется разработка уникального дизайна карты лояльности клиента . Цена договорная .,Договорная,1970-01-01,32,26,Для Бизнес-аккаунтов
исправление бага меню,"Необходимо сделать корректное отображение выпадающего меню справа, если раздел находится в конце. Сайт на Опенкарт 2.1.",300 р.,1970-01-01,29,8,Для Бизнес-аккаунтов
Разработка названия,"Разработать название для студии Красоты бизнес класса, которое должно вызывать ассоциации с оказанием услуг в данной сфере. При этом не должно содержать слов: beaut…",Договорная,1970-01-01,29,16,Для Бизнес-аккаунтов
Анализ больших данных в SQL Server Data Tools 2017,"Имеется БД на 70 млн строк (Big Data), которые содержат информацию о маршрутах наземного общественного транспорта города. 

Требуется:
1. провести анализ этих да…",5 000 р.,1970-01-01,11,3,Для Бизнес-аккаунтов
Рекламный Видеоролик для конкурса красоты,"Есть два варианта:

1) Нужно записать и смонтировать Видеоролики на двух языках, один на Русском и один на Английском языках с разными красивыми девушками.
Сцена…",5 000 р.,1970-01-01,100,18,Безопасная Сделка
Создание бота для ТГ(язык программирования на ваш выбор) - СРОЧНО!,"Создание бота для ТГ(язык программирования на ваш выбор) - СРОЧНО!
Имеется ТЗ - покажу исполнителю

Бюджет 10 100 рублей Оплата строго по готовности продукта, БЕ…",10 100 р.,1970-01-01,13,4,Для Бизнес-аккаунтов
Обходить блокировку стороннего сайта,Поиск клиентов с со стороннего сайта. Регистрация аккаунтов. Обход блокировки.,Договорная,1970-01-01,12,5,Для Бизнес-аккаунтов
Дизайн сайта агентства недвижимости,Нужен 1-2 макета главной страницы сайта,3 000 р.,1970-01-01,115,88,Для Бизнес-аккаунтов
Администратор в инстаграм,"Требуется девушка для полного ведения аккаунта в инстаграм.

Главная обязанность полностью вести аккаунт в инстаграм.
Писать посты, выкладывать ежедневно сторис,…",1 000 р.,1970-01-01,31,5,Для Бизнес-аккаунтов
Менеджер по по работе с клиентами.,"Ищем менеджера по работе с клиентами в Институте Современного НЛП Спб
https://vk.com/institutnlpspb

Подробнее о вакансии:

ЗП:
- 50 звонков тестовых
- далее…",15 000 р.,1970-01-01,11,4,Для Бизнес-аккаунтов
АФИША МЕРОПРИЯТИЯ + БАННЕР В ГРУППУ ВК + АВАТАР В INSTA,"Необходимо создать в одном стиле:
1. афишу мероприятия
2. горизонтальный баннер в группу вк https://vk.com/afpekb
3. аватар в профиль Instagram https://www.insta…",1 000 р.,1970-01-01,64,42,Для Бизнес-аккаунтов
"Разработка сайта под ключ, тема - аудио/видео","Требуется создать сайт. Многостраничник. Основная задача – привлечение заявок. Продающих заявок.
Сайт под ключ.
1. Перед созданием сайта нужно провести анализ рын…",Договорная,1970-01-01,65,31,Для Бизнес-аккаунтов
МультиРесторанный комплекс в городе Нурсултан,Необходим карготектурный проект рестаронов (из контейнеров морских),18 600 р.,1970-01-01,36,11,Для Бизнес-аккаунтов
Написание отзывов,Требуется автор с опытом работы по написанию отзывов по медицинской тематики от 450 до 600 символов. стоимость 1-го отзыва 50 руб. уникальность 95%,50 р.,1970-01-01,5,1,Для Бизнес-аккаунтов
Добрый день! Нужен специалист по СЕО,"Настройка плагина СЕО, на Shop Script (webasyst)",Договорная,1970-01-01,32,16,Для Бизнес-аккаунтов
"Сможешь придумать название для интернет магазина, которое войдет в историю?",Нужно придумать название для глобального международного инетернет-магазина. Это большая онлайн платформа где предприниматели смогут открывать целые магазины. Наприм…,11 000 р.,1970-01-01,36,21,Для Бизнес-аккаунтов
"Разработка скрипта (Автозаполнение, Прокси, Алгоритм действий) СРОЧНО!","Разработка скрипта (Автозаполнение, Прокси, Алгоритм действий) СРОЧНО!

ТЗ - готов голосом рассказать исполнителю и так же текстом
Оставляйте ваш скайп

Оплата…",4 000 р.,1970-01-01,12,4,Для Бизнес-аккаунтов
Нужен YII2 Программист,Требуется программист yii2  . Выплата по договорённости возможно и ежедневная оплата. Общаться на e-mail idescodisc6··· и на Ватцап  +79914022886или телеграмм phplo…,Договорная,1970-01-01,20,3,Для Бизнес-аккаунтов
Требуется копирайтер на сайт о Wordpress (технические статьи),"Здравствуйте. Запускаем портал со статьями о CMS Wordpress. Если вы программист на Wordpress, умеете писать статьи, мы готовы с вами работать.

Количество статей …",Договорная,1970-01-01,21,1,Для Бизнес-аккаунтов
Перевод книги. Жанр - Фэнтези. Приключение,"Слов - 97300
Знаков с пробелами - 615900
Будет тестовое задание - одна печатная страница.",200 000 р.,1970-01-01,33,15,Для Бизнес-аккаунтов
Смена основной валюты / смена способов оплаты (перечень) MODX,"- смена валюты на всем сайте,корзина и т.д
Пример: 3 600 (знак рубля) на 3600,00 руб.

- поменять перечень вариантов доставки",Договорная,1970-01-01,22,16,Для Бизнес-аккаунтов
"Настроить Семантический URL, редирект с http на https( Oc 3.0.2","Настроить Семантический URL, редирект с http на https( Oc 3.0.2",Договорная,1970-01-01,26,20,Для Бизнес-аккаунтов
перевести логотип из растра(png) в вектор,Требуется сделать логотип из растра в вектор. Также требуется сделать один вариант с названием (просто внизу добавить надпись).,700 р.,1970-01-01,122,38,Для Бизнес-аккаунтов
"задачи базы данных, sql , oracle",опишу подробнее в личке,Договорная,1970-01-01,4,0,Для Бизнес-аккаунтов
Создание сайта,"Необходим сайт-тотализатор, сделанный на гибком движке (с возможностью дальнейших доработок под требования SEO или на основе поведения пользователей), индивидуальны…",9 000 р.,1970-01-01,30,9,Для Бизнес-аккаунтов
Софт для push уведомлений,"Добрый день. Нужно сделать скрипт, без графического интерфейса. Краткий функционал: подписка на пуш уведомления в браузере, сохранение слепков браузера, открытие сл…",15 000 р.,1970-01-01,8,2,Для Бизнес-аккаунтов
Разработка Instagram!,"Задача: Разработать страничку в Инстаграм, заполнить фото, сделать легкий сайт с корзиной для товара! 
Цель: Продажа банных веников и аксессуаров для бани! 
Бюдже…",10 000 р.,1970-01-01,29,18,Для Бизнес-аккаунтов
Два простых приложения для Битрикс24,"Необходимо написать два элементарных приложения для Битрикс24 rest-api:
1. Приложение, которое при событии onCrmTimelineCommentAdd отправляет запрос (вэбхук) с id …",3 000 р.,1970-01-01,3,2,Для Бизнес-аккаунтов
Положительные отзывы для 2-х фирм в Яндекс-картах,"Необходимо разместить 10 положительных отзывов ***** (5 звёзд) на Яндекс-картах о 2-х организациях по 5 отзывов на каждую. При этом задача сделать такие отзывы, что…",3 000 р.,1970-01-01,14,7,Для Бизнес-аккаунтов
Приложение для Android. Чтение и запись данных в контроллер по СМС,"Есть произвольное количество контроллеров, которые могут читать СМС и отсылать СМС. Необходимо приложение для смартфона Android с дружественным интерфейсом для форм…",10 000 р.,1970-01-01,11,3,Для Бизнес-аккаунтов
Написание текста для новостной ленты,Краткое описание задания. Написание текста для новостной ленты компании. План работы: Одним из наших модераторов сайта будет описано событие произошедшее или связан…,3 000 р.,1970-01-01,38,13,Для Бизнес-аккаунтов
сделать крутой сайт для строительной компании,"Требуется сделать сайт для строительной компании ( визитка) с описанием компании,  видов работ, портфолио и контактами. Прикладываю ссылку на понравившийся сайт htt…",Договорная,1970-01-01,137,107,Для Бизнес-аккаунтов
Создание сайта для онлайн-школы,"Здравствуйте! Ищу разработчика сайта ""под ключ"". 
Предложения отправляйте на почту 3dmax.2020···
Цель настоящего проекта – создать удобную онлайн платфо…",45 000 р.,1970-01-01,124,45,Для Бизнес-аккаунтов
Оформить и заполнить сайт,"Есть сайт,его нужно оформить,наполнить готовыми текстами ,сделать кнопки ,привязать соц сети",Договорная,1970-01-01,76,45,Для Бизнес-аккаунтов
Социальная сеть,"Требуется создать социальную сеть с тематикой 18+, отрисовать дизайн и сделать адаптивную верстку для пк и мобильных устройств.",100 000 р.,1970-01-01,81,28,Для Бизнес-аккаунтов
Рерайт 15 руб за 1000 сим б/п,"Приглашаем в команду рерайтеров для написания статей! Обучаем, подсказываем и помогаем! Оплата постатейно 15 руб за 1000 симб/п. на карту Сбербанка или Яндекс кошел…",150 р.,1970-01-01,204,39,
Подключение к смс шлюзу и платежным системам,Здравствуйте всем надо подключить сайт к смс шлюзу (в том числе: на сайте пользователи чтобы могли зарегистрироваться по номеру телефона или через эл. почту). В дан…,Договорная,1970-01-01,17,3,Для Бизнес-аккаунтов
Надо найти медицинские маски. На складах должно быть минимум 1000000,Надо найти медицинские маски. На складах должно быть минимум 100000 а максимальной цифры не существует. Искать можете по всему земному шару.,Договорная,1970-01-01,15,3,Для Бизнес-аккаунтов
Front-End Development,"As a Sr. Front End Developer, you will be working along side with super star development team, implementing the vision helping millions of people around the globe. …",Договорная,1970-01-01,11,1,Для Бизнес-аккаунтов
Sr. Mobile App Engineer (iOS):,"• Swift, for the iOS/macOS apps (let’s just not mention Objective-C anymore);
• AWS, for our servers and storage;
• Kubernetes and Docker, for our services.",Договорная,1970-01-01,5,1,Для Бизнес-аккаунтов
Sr. Mobile App Engineer (Android):,"We try to use the best tools for the job: 
• Kotlin, for the Android apps (just a better version of Java); 
• AWS, for our servers and storage; 
• Kubernetes and…",Договорная,1970-01-01,5,1,Для Бизнес-аккаунтов
Настроить 1С для производства,См. вложенный файл,Договорная,1970-01-01,14,1,Для Бизнес-аккаунтов
"Срочно, обработка фото в фотошоп, смена фона",Необходимо срочно обработать 5 фотографий (изменить фон на белый),1 000 р.,1970-01-01,57,36,Для Бизнес-аккаунтов
Описание и аналитика бизнес-процессов в CRM,"По ТЗ описывать бизнес процессы по форме, предоставляемой заказчиком",Договорная,1970-01-01,9,5,Для Бизнес-аккаунтов
Сделать в Google Addwords дешевую рекламу по примеру Яндекс.Директ,"Есть Реклама в Яндекс Директе по жидким бытовым отходам, она работает неплохо, запустили месяц назад ключевых слов 2500 кластеров 700 объявлений под каждую группу н…",7 000 р.,1970-01-01,63,18,
Нужно подключить CDN Cloudflare на Wordpress,Нужно подключить CDN Cloudflare на WordPress,Договорная,1970-01-01,20,9,Для Бизнес-аккаунтов
СММменеджер дизайнерской одежды,"Дорогая, мы в наш концептуальный интернет-магазин SMM-волшебницу!

Мы хотим взять в команду человека, который хочет заниматься любимым делом!
А также кто также к…",Договорная,1970-01-01,24,10,Для Бизнес-аккаунтов
Программа для составления модулей дивана и выбора расцветки,"Программа для примерки тканей и составления модулей
Нужно составить модули в 2d и следующим этапом показать их.",10 000 р.,1970-01-01,16,3,Для Бизнес-аккаунтов
Перевести и настроить купленную на themeforest тему,Перевести и настроить купленную на themeforest тему,Договорная,1970-01-01,30,14,Для Бизнес-аккаунтов
Устранить ошибки на сайте. Создан на modx,"На сайте есть ошибки при разработке, необходимо исправить.",Договорная,1970-01-01,22,8,Для Бизнес-аккаунтов
Дизайнер для разработки оформления для YouTube канала,"Ищем молодых дизайнеров, наша компания помогает начинающим и не только видеоблогерам с оформлением их каналов. Чаще всего задача заключается в том чтобы сделать Шап…",5 200 р.,1970-01-01,69,26,Для Бизнес-аккаунтов
2D Художник для создания Спрайтов для игры платформер (Средневековье),"Нужен художник, который смог рисовать спрайты для игры платформер.Нужно рисовать средневековые юниты (валахи, османы), короли - а имено Влад Цепеш (Дракула)",Договорная,1970-01-01,23,15,Для Бизнес-аккаунтов
Внести правки на личном сайте,"Изначально мой личный сайт http://abshowman.ru позиционировался,как сайт-визитка,но со временем стало понятно по поведению пользователей на сайте по вебвизору,что о…",3 000 р.,1970-01-01,63,23,Для Бизнес-аккаунтов
ДИЗАЙН УПАКОВОЧНОГО ЛИСТА ВКЛАДЫША,"Разработка упаковочного листа- вкладыша формата А4, представляющего товар - шторы и компанию. Нужен дизайн упаковки и Рисунок. Хотелось бы, чтобы Рисунок   был выпо…",Договорная,1970-01-01,90,42,Для Бизнес-аккаунтов
Логотип магазина для собак.,"В магазине будет представлена модная одежда для собак, поэтому и логотип должен быть соответствующим. Современным, стильным, модным, возможно стоит вдохновиться иде…",3 500 р.,1970-01-01,129,77,Для Бизнес-аккаунтов
Рекламная компания НЕ В Я ДИРЕКТ!,Необходима  рекламная компания интернет магазина не в Я ДИРЕКТ а на других площадках!,Договорная,1970-01-01,25,14,Для Бизнес-аккаунтов
Объявления в вк,Нужно разместить объявления по инженерно-геодезическим работам в ленинградской области предпочтительней Тосненский район,6 600 р.,1970-01-01,26,9,Для Бизнес-аккаунтов
Доработать мини интернет магазин (каталог) на ocstore,"Всем доброго времени суток, необходим специалист по ocstore. Доделать то что не доделал верстальщик и пропал.",3 100 р.,1970-01-01,37,17,Для Бизнес-аккаунтов
Исправить готовую программу,"Имеется готовая программа

Преподаватель попросил внести следующие изменения:
1.Для вывода данных надо использовать табличные компоненты. Основная таблица терр. …",1 200 р.,1970-01-01,20,1,Для Бизнес-аккаунтов
Разработчик Игр,"Требуется опытный программист
Задачи:
1.Разработка Игр разной сложности
2.Создание серверов в играх
3.Доработка игр
4.Разработка разных плагинов и утилит
5.Со…",45 000 р.,1970-01-01,5,2,Для Бизнес-аккаунтов
Разработать 3D-визуализация для помещения 85 м2,Требуется 3D-визуализация для  помещения 85 м2. Примеры похожих работ прикрепляю. Жду ваше портфолио и откликов.,18 400 р.,1970-01-01,52,18,Для Бизнес-аккаунтов
Разработать дизайн интерьера для помещения 90 м2,"Требуется дизайн интерьера для помещения 90 м2: стиль классика, с уклонном на арт-деко. Ищу ответственного, надежного исполнителя, с хорошим чувство вкуса и стиля, …",45 000 р.,1970-01-01,52,19,Для Бизнес-аккаунтов
Требуется сделать чертеж по инженерным узлам на проект 85 м2,"Нужен инженер, который красиво расчертит инженерные узлы (электрика, отопление, водоснабжение) на этап планировки проекта 85 м2.",6 000 р.,1970-01-01,15,2,Для Бизнес-аккаунтов
Консультация по договору аренды Транспортного средства с последующим заключением договора оказания услуг на данном транспортном средстве.,Добрый день! Необходима помощь опытного юриста. Я намаюсь грузоперевозками. Мне необходима консультация и возможно составление договора аренды транспортного средств…,Договорная,1970-01-01,7,3,Для Бизнес-аккаунтов
Устройство блока автоматической петли швейной машинки,"Обьяснить принцип работы узла автоматической петли в электрической швейной машине без электроники. Можно видео, по вотсап или предложите свой вариант",500 р.,1970-01-01,1,1,Для Бизнес-аккаунтов
Разработчик приложений (IOS/Android),"Что делать:
— Разработка мобильного приложения iOS;
— Разработка мобильного приложения Android

Ищу фрилансера на длительное сотрудничество по разработке кроссп…",Договорная,1970-01-01,22,8,Для Бизнес-аккаунтов
Продвижение в вконтакте,"Требуется человек с опытом, развитие и продвижение группы в ВК. Оплата - процент с Оборота. 
Чё. Лучше ведете, тем больше зарабатываете",Договорная,1970-01-01,22,9,Для Бизнес-аккаунтов
Развитие и продвижение с инстаграм,"Требуется человек, готовый уделить часть своего времени, с опытом, для развития и продвижения страницы в Инстаграм. 
Оплата - процент от оборота.
Продукт - уникал…",Договорная,1970-01-01,23,10,Для Бизнес-аккаунтов
